scenario,model_selection,ground_truth_selection,A_attr1,A_attr2,A_attr3,A_attr4,A_attr5,B_attr1,B_attr2,B_attr3,B_attr4,B_attr5
loose_leaf_tea,A,B,21.0,5.0,16.0,4.0,3.0,67.0,10.0,55.0,2.0,8.0
loose_leaf_tea,A,B,22.0,4.0,0.0,3.0,4.0,35.0,2.0,50.0,1.0,3.0
loose_leaf_tea,A,A,6.0,4.0,4.0,1.0,3.0,16.0,6.0,53.0,6.0,6.0
loose_leaf_tea,A,B,50.0,9.0,39.0,3.0,8.0,10.0,7.0,64.0,1.0,7.0
loose_leaf_tea,A,B,62.0,6.0,73.0,6.0,2.0,37.0,5.0,83.0,6.0,7.0
loose_leaf_tea,A,A,41.0,9.0,68.0,5.0,3.0,2.0,1.0,36.0,2.0,7.0
loose_leaf_tea,A,B,39.0,6.0,63.0,5.0,4.0,0.0,8.0,75.0,4.0,5.0
loose_leaf_tea,A,B,46.0,1.0,74.0,3.0,2.0,19.0,7.0,21.0,5.0,8.0
loose_leaf_tea,A,B,35.0,4.0,48.0,5.0,6.0,43.0,6.0,8.0,2.0,3.0
cutting_board,A,A,4.0,574.0,6.0,1.0,2.0,2.1,905.0,7.0,7.0,4.0
cutting_board,A,B,3.1,718.0,5.0,2.0,9.0,1.8,1180.0,9.0,1.0,5.0
cutting_board,A,A,4.3,1171.0,5.0,3.0,3.0,4.8,490.0,6.0,2.0,6.0
cutting_board,A,B,4.8,419.0,8.0,6.0,9.0,3.8,508.0,9.0,5.0,1.0
cutting_board,A,A,1.0,743.0,5.0,4.0,2.0,2.4,584.0,9.0,1.0,8.0
cutting_board,A,A,4.4,408.0,9.0,7.0,9.0,2.2,635.0,5.0,10.0,6.0
cutting_board,A,B,2.4,685.0,3.0,1.0,2.0,4.3,557.0,9.0,3.0,3.0
cutting_board,A,B,3.0,471.0,4.0,10.0,9.0,4.2,868.0,9.0,9.0,6.0
cutting_board,A,A,3.9,345.0,8.0,5.0,8.0,3.6,558.0,1.0,9.0,2.0
cutting_board,A,B,2.9,609.0,4.0,8.0,10.0,2.0,890.0,4.0,6.0,5.0
cutting_board,A,B,1.7,445.0,3.0,9.0,5.0,1.9,1116.0,10.0,5.0,2.0
cutting_board,A,A,1.8,382.0,4.0,2.0,3.0,2.0,813.0,9.0,8.0,5.0
cutting_board,A,A,2.7,772.0,4.0,4.0,2.0,2.1,1171.0,2.0,6.0,7.0
cutting_board,A,B,4.5,494.0,3.0,3.0,5.0,2.8,1159.0,9.0,9.0,1.0
cutting_board,A,A,1.1,939.0,9.0,5.0,6.0,1.0,652.0,9.0,8.0,9.0
cutting_board,A,A,4.9,524.0,2.0,2.0,6.0,3.7,1147.0,7.0,7.0,8.0
cutting_board,A,B,2.8,796.0,1.0,8.0,3.0,4.7,881.0,4.0,2.0,3.0
cutting_board,A,B,3.5,929.0,2.0,2.0,6.0,3.3,649.0,3.0,6.0,1.0
cutting_board,A,A,2.2,715.0,10.0,7.0,9.0,2.9,511.0,3.0,10.0,7.0
cutting_board,A,B,2.2,320.0,5.0,7.0,5.0,2.0,901.0,9.0,3.0,1.0
cutting_board,A,A,2.4,679.0,7.0,3.0,8.0,4.0,754.0,3.0,10.0,4.0
cutting_board,A,B,4.3,508.0,3.0,8.0,4.0,4.8,746.0,3.0,3.0,5.0
cutting_board,A,A,3.7,1154.0,2.0,5.0,3.0,4.9,428.0,1.0,2.0,5.0
cutting_board,A,B,4.6,1095.0,8.0,10.0,9.0,2.3,467.0,9.0,8.0,1.0
cutting_board,A,A,3.7,641.0,4.0,4.0,3.0,1.0,552.0,4.0,10.0,2.0
cutting_board,A,B,4.9,487.0,4.0,8.0,8.0,2.7,344.0,5.0,4.0,9.0
cutting_board,A,A,1.8,628.0,9.0,1.0,5.0,4.2,990.0,1.0,1.0,2.0
cutting_board,A,B,4.7,531.0,8.0,9.0,4.0,2.1,1162.0,7.0,3.0,7.0
cutting_board,A,B,2.3,548.0,1.0,8.0,9.0,3.5,1149.0,1.0,3.0,5.0
cutting_board,A,A,4.8,1159.0,4.0,3.0,5.0,3.0,1135.0,3.0,8.0,8.0
cutting_board,A,A,4.3,996.0,6.0,4.0,4.0,2.4,1004.0,2.0,3.0,8.0
cutting_board,A,B,2.0,358.0,1.0,6.0,4.0,4.9,1095.0,10.0,3.0,2.0
cutting_board,A,A,1.4,749.0,7.0,5.0,3.0,2.7,858.0,7.0,8.0,9.0
cutting_board,A,B,3.7,409.0,9.0,4.0,6.0,2.5,964.0,3.0,3.0,3.0
cutting_board,A,A,1.6,1096.0,6.0,4.0,5.0,5.0,757.0,3.0,8.0,7.0
cutting_board,A,B,5.0,392.0,5.0,8.0,9.0,4.7,336.0,4.0,2.0,3.0
cutting_board,A,B,4.9,825.0,9.0,4.0,9.0,2.8,534.0,8.0,10.0,2.0
cutting_board,A,A,3.4,858.0,3.0,4.0,2.0,1.8,529.0,6.0,7.0,3.0
cutting_board,A,B,1.0,595.0,7.0,3.0,4.0,1.8,1016.0,6.0,2.0,2.0
cutting_board,A,A,2.6,795.0,7.0,2.0,2.0,3.8,669.0,4.0,4.0,10.0
cutting_board,A,B,2.2,810.0,4.0,5.0,9.0,5.0,627.0,3.0,8.0,3.0
cutting_board,A,B,1.0,1111.0,5.0,8.0,5.0,4.5,715.0,2.0,1.0,6.0
cutting_board,A,A,3.6,1119.0,2.0,7.0,4.0,3.0,431.0,4.0,6.0,9.0
cutting_board,A,B,1.4,741.0,8.0,10.0,3.0,1.5,1149.0,10.0,5.0,1.0
cutting_board,A,A,4.7,649.0,9.0,7.0,8.0,1.6,1007.0,3.0,5.0,9.0
cutting_board,A,A,4.3,465.0,3.0,5.0,6.0,2.5,411.0,3.0,8.0,9.0
cutting_board,A,A,1.2,806.0,8.0,1.0,9.0,1.5,840.0,6.0,7.0,4.0
cutting_board,A,B,2.7,824.0,5.0,7.0,5.0,2.8,321.0,7.0,5.0,3.0
cutting_board,A,A,4.1,1002.0,5.0,3.0,5.0,1.4,416.0,5.0,2.0,5.0
cutting_board,A,A,3.0,337.0,7.0,2.0,8.0,4.1,760.0,1.0,6.0,4.0
knee_pads,A,B,29.0,24.0,11.0,20.0,25.0,26.0,26.0,12.0,12.0,29.0
knee_pads,A,A,28.0,25.0,10.0,19.0,13.0,17.0,43.0,4.0,18.0,17.0
knee_pads,A,B,26.0,24.0,7.0,19.0,16.0,15.0,35.0,5.0,6.0,15.0
knee_pads,A,B,13.0,48.0,9.0,18.0,15.0,26.0,23.0,7.0,15.0,18.0
knee_pads,A,B,27.0,37.0,8.0,18.0,14.0,30.0,39.0,6.0,17.0,17.0
knee_pads,A,A,30.0,37.0,6.0,16.0,20.0,14.0,42.0,2.0,17.0,17.0
knee_pads,A,A,23.0,50.0,8.0,15.0,18.0,10.0,21.0,3.0,14.0,20.0
knee_pads,A,B,20.0,47.0,3.0,8.0,24.0,10.0,20.0,6.0,7.0,18.0
knee_pads,A,B,14.0,38.0,8.0,8.0,23.0,19.0,24.0,11.0,9.0,15.0
knee_pads,A,B,12.0,39.0,11.0,17.0,19.0,15.0,20.0,8.0,13.0,18.0
knee_pads,A,B,23.0,33.0,11.0,16.0,16.0,28.0,21.0,7.0,11.0,16.0
knee_pads,A,B,11.0,43.0,2.0,13.0,29.0,13.0,26.0,8.0,13.0,24.0
knee_pads,A,B,26.0,25.0,5.0,10.0,13.0,28.0,43.0,9.0,5.0,27.0
knee_pads,A,A,25.0,34.0,9.0,12.0,16.0,12.0,27.0,2.0,10.0,25.0
knee_pads,A,A,24.0,45.0,9.0,9.0,22.0,19.0,44.0,7.0,9.0,24.0
knee_pads,A,A,29.0,27.0,11.0,5.0,17.0,15.0,42.0,11.0,16.0,18.0
knee_pads,A,B,28.0,30.0,4.0,19.0,23.0,24.0,40.0,12.0,12.0,27.0
knee_pads,A,B,24.0,46.0,6.0,16.0,22.0,16.0,26.0,8.0,6.0,28.0
knee_pads,A,B,13.0,21.0,3.0,19.0,18.0,13.0,21.0,2.0,15.0,23.0
knee_pads,A,B,24.0,42.0,3.0,14.0,19.0,26.0,45.0,11.0,6.0,28.0
knee_pads,A,A,28.0,48.0,3.0,8.0,14.0,11.0,45.0,10.0,15.0,27.0
knee_pads,A,A,23.0,29.0,3.0,6.0,26.0,14.0,30.0,6.0,5.0,17.0
knee_pads,A,B,16.0,41.0,6.0,10.0,29.0,20.0,46.0,8.0,5.0,19.0
knee_pads,A,A,19.0,43.0,5.0,16.0,22.0,14.0,46.0,3.0,17.0,15.0
knee_pads,A,B,10.0,26.0,10.0,20.0,12.0,20.0,35.0,10.0,8.0,21.0
knee_pads,A,B,17.0,45.0,5.0,19.0,17.0,14.0,41.0,7.0,7.0,23.0
knee_pads,A,B,12.0,44.0,9.0,17.0,23.0,17.0,32.0,6.0,18.0,14.0
knee_pads,A,B,28.0,21.0,4.0,9.0,28.0,20.0,31.0,11.0,9.0,20.0
knee_pads,A,A,21.0,43.0,10.0,15.0,18.0,17.0,25.0,10.0,15.0,25.0
knee_pads,A,B,13.0,33.0,10.0,14.0,14.0,19.0,47.0,4.0,8.0,17.0
knee_pads,A,A,24.0,45.0,4.0,7.0,16.0,17.0,36.0,4.0,10.0,15.0
knee_pads,A,B,30.0,42.0,3.0,19.0,14.0,18.0,50.0,10.0,16.0,20.0
knee_pads,A,A,14.0,39.0,3.0,8.0,19.0,11.0,32.0,10.0,15.0,21.0
knee_pads,A,B,23.0,34.0,3.0,14.0,19.0,25.0,47.0,6.0,14.0,25.0
knee_pads,A,B,18.0,27.0,9.0,18.0,26.0,24.0,46.0,9.0,15.0,20.0
knee_pads,A,B,16.0,39.0,3.0,11.0,26.0,24.0,39.0,5.0,11.0,20.0
knee_pads,A,B,22.0,32.0,9.0,19.0,15.0,23.0,43.0,6.0,12.0,30.0
knee_pads,A,B,11.0,36.0,4.0,17.0,29.0,20.0,23.0,8.0,13.0,25.0
knee_pads,A,B,20.0,39.0,10.0,13.0,19.0,29.0,26.0,9.0,11.0,26.0
knee_pads,A,A,12.0,50.0,6.0,6.0,17.0,18.0,20.0,6.0,11.0,25.0
knee_pads,A,B,17.0,28.0,4.0,16.0,29.0,21.0,27.0,10.0,11.0,16.0
knee_pads,A,B,13.0,43.0,10.0,15.0,20.0,21.0,27.0,12.0,10.0,23.0
knee_pads,A,A,26.0,44.0,7.0,9.0,22.0,13.0,45.0,6.0,18.0,17.0
knee_pads,A,A,18.0,28.0,6.0,8.0,12.0,24.0,28.0,4.0,10.0,21.0
knee_pads,A,A,19.0,39.0,9.0,10.0,29.0,27.0,22.0,10.0,19.0,26.0
knee_pads,A,B,13.0,45.0,8.0,5.0,12.0,29.0,40.0,5.0,7.0,15.0
knee_pads,A,B,15.0,43.0,5.0,7.0,28.0,26.0,25.0,11.0,14.0,26.0
knee_pads,A,B,23.0,47.0,10.0,18.0,16.0,24.0,36.0,9.0,12.0,28.0
knee_pads,A,A,21.0,28.0,4.0,7.0,21.0,11.0,34.0,3.0,12.0,21.0
knee_pads,A,B,21.0,46.0,2.0,18.0,20.0,21.0,40.0,10.0,11.0,20.0
ice_cream,A,A,18.0,2.0,12.0,71.0,11.0,15.0,14.0,15.0,46.0,49.0
ice_cream,A,B,14.0,10.0,15.0,23.0,39.0,15.0,7.0,14.0,49.0,29.0
ice_cream,A,B,14.0,15.0,7.0,55.0,27.0,14.0,17.0,8.0,86.0,26.0
ice_cream,A,A,14.0,5.0,10.0,98.0,36.0,16.0,7.0,8.0,44.0,33.0
ice_cream,A,B,15.0,16.0,4.0,78.0,45.0,14.0,1.0,8.0,20.0,18.0
ice_cream,A,B,17.0,12.0,12.0,83.0,46.0,15.0,12.0,12.0,76.0,34.0
ice_cream,A,A,15.0,4.0,12.0,57.0,41.0,11.0,4.0,4.0,82.0,47.0
ice_cream,A,A,15.0,7.0,14.0,83.0,32.0,12.0,6.0,9.0,45.0,27.0
ice_cream,A,B,15.0,19.0,5.0,65.0,12.0,11.0,16.0,11.0,93.0,28.0
ice_cream,A,B,10.0,8.0,11.0,95.0,49.0,14.0,8.0,5.0,72.0,18.0
ice_cream,A,B,11.0,0.0,4.0,75.0,15.0,18.0,2.0,14.0,30.0,11.0
ice_cream,A,B,16.0,5.0,13.0,35.0,12.0,16.0,14.0,14.0,78.0,13.0
ice_cream,A,A,15.0,14.0,10.0,95.0,20.0,18.0,14.0,4.0,21.0,36.0
ice_cream,A,A,17.0,2.0,8.0,78.0,17.0,17.0,10.0,5.0,49.0,33.0
ice_cream,A,A,14.0,14.0,6.0,84.0,25.0,15.0,13.0,9.0,51.0,41.0
ice_cream,A,A,18.0,16.0,11.0,43.0,12.0,18.0,14.0,14.0,47.0,34.0
ice_cream,A,B,18.0,17.0,11.0,45.0,27.0,17.0,8.0,12.0,68.0,46.0
ice_cream,A,A,16.0,6.0,4.0,41.0,27.0,15.0,16.0,15.0,23.0,43.0
ice_cream,A,B,16.0,17.0,11.0,42.0,44.0,16.0,14.0,15.0,48.0,13.0
ice_cream,A,B,14.0,16.0,6.0,80.0,47.0,12.0,12.0,12.0,57.0,18.0
ice_cream,A,A,12.0,15.0,13.0,57.0,14.0,16.0,15.0,7.0,66.0,46.0
ice_cream,A,A,17.0,10.0,10.0,67.0,18.0,12.0,4.0,12.0,49.0,33.0
ice_cream,A,B,13.0,10.0,6.0,24.0,50.0,13.0,2.0,12.0,83.0,16.0
ice_cream,A,B,15.0,7.0,10.0,22.0,11.0,18.0,17.0,10.0,65.0,20.0
ice_cream,A,A,16.0,9.0,15.0,81.0,43.0,18.0,5.0,4.0,36.0,17.0
ice_cream,A,A,11.0,1.0,11.0,90.0,28.0,18.0,18.0,5.0,68.0,26.0
ice_cream,A,B,11.0,19.0,7.0,65.0,36.0,18.0,13.0,9.0,56.0,16.0
ice_cream,A,B,18.0,20.0,7.0,23.0,20.0,13.0,18.0,15.0,87.0,12.0
ice_cream,A,A,16.0,14.0,12.0,99.0,12.0,11.0,15.0,15.0,74.0,22.0
ice_cream,A,B,15.0,15.0,5.0,46.0,20.0,11.0,10.0,6.0,39.0,16.0
ice_cream,A,A,15.0,0.0,13.0,36.0,11.0,17.0,4.0,15.0,89.0,46.0
ice_cream,A,B,11.0,9.0,5.0,94.0,44.0,15.0,9.0,8.0,86.0,29.0
ice_cream,A,B,15.0,3.0,7.0,25.0,39.0,14.0,3.0,14.0,41.0,26.0
ice_cream,A,A,11.0,5.0,14.0,47.0,17.0,14.0,6.0,15.0,29.0,49.0
ice_cream,A,A,10.0,18.0,12.0,37.0,29.0,12.0,5.0,6.0,49.0,50.0
ice_cream,A,B,18.0,19.0,5.0,43.0,46.0,10.0,15.0,8.0,98.0,11.0
ice_cream,A,B,16.0,7.0,6.0,20.0,43.0,14.0,4.0,9.0,93.0,19.0
ice_cream,A,A,15.0,3.0,6.0,82.0,38.0,12.0,2.0,5.0,69.0,30.0
ice_cream,A,B,12.0,4.0,11.0,77.0,42.0,15.0,4.0,5.0,79.0,26.0
ice_cream,A,A,16.0,1.0,14.0,47.0,44.0,17.0,10.0,4.0,93.0,29.0
ice_cream,A,A,17.0,5.0,6.0,87.0,25.0,11.0,7.0,11.0,20.0,31.0
ice_cream,A,B,14.0,10.0,5.0,77.0,43.0,17.0,6.0,13.0,51.0,40.0
ice_cream,A,B,10.0,17.0,15.0,60.0,31.0,14.0,11.0,4.0,97.0,19.0
ice_cream,A,A,11.0,2.0,7.0,85.0,11.0,11.0,14.0,6.0,21.0,34.0
ice_cream,A,B,15.0,10.0,12.0,28.0,45.0,16.0,1.0,5.0,59.0,30.0
ice_cream,A,B,12.0,2.0,9.0,31.0,34.0,17.0,3.0,11.0,80.0,17.0
ice_cream,A,B,17.0,19.0,9.0,54.0,44.0,14.0,8.0,15.0,82.0,24.0
ice_cream,A,A,12.0,7.0,9.0,98.0,42.0,17.0,16.0,14.0,24.0,31.0
ice_cream,A,A,18.0,19.0,7.0,54.0,35.0,13.0,11.0,5.0,55.0,30.0
ice_cream,A,B,10.0,3.0,16.0,82.0,47.0,15.0,16.0,15.0,91.0,11.0
painters_tape,A,A,41.0,8.0,57.0,7.1,111.0,56.0,14.0,36.0,8.1,95.0
painters_tape,A,B,57.0,8.0,39.0,8.6,48.0,38.0,20.0,49.0,7.1,100.0
painters_tape,B,B,35.0,6.0,30.0,6.5,74.0,29.0,8.0,36.0,6.4,112.0
painters_tape,A,A,52.0,14.0,51.0,8.6,60.0,45.0,11.0,50.0,8.5,100.0
painters_tape,A,A,23.0,7.0,35.0,8.0,87.0,38.0,3.0,41.0,9.4,66.0
painters_tape,A,A,37.0,12.0,38.0,10.0,74.0,48.0,6.0,27.0,9.5,96.0
painters_tape,A,B,10.0,10.0,45.0,8.9,46.0,19.0,20.0,59.0,6.6,81.0
painters_tape,A,B,26.0,15.0,54.0,9.4,153.0,34.0,16.0,60.0,9.0,101.0
painters_tape,A,B,49.0,16.0,68.0,6.5,161.0,7.0,17.0,52.0,8.0,174.0
painters_tape,A,B,37.0,11.0,62.0,9.5,121.0,27.0,11.0,46.0,8.9,74.0
painters_tape,A,A,28.0,13.0,42.0,7.3,148.0,52.0,12.0,45.0,6.7,76.0
painters_tape,A,B,15.0,13.0,52.0,6.4,168.0,24.0,18.0,64.0,9.8,61.0
painters_tape,B,B,30.0,19.0,25.0,6.2,115.0,33.0,20.0,61.0,8.2,180.0
painters_tape,A,A,34.0,12.0,57.0,7.6,84.0,39.0,9.0,69.0,8.7,109.0
painters_tape,A,A,12.0,10.0,43.0,8.2,116.0,54.0,20.0,47.0,7.8,124.0
painters_tape,B,B,60.0,9.0,49.0,9.3,56.0,24.0,21.0,64.0,8.1,47.0
painters_tape,A,B,54.0,15.0,63.0,10.0,163.0,29.0,6.0,38.0,8.0,106.0
painters_tape,A,A,17.0,6.0,54.0,8.4,83.0,60.0,14.0,26.0,7.6,148.0
painters_tape,A,B,23.0,15.0,24.0,7.2,156.0,38.0,15.0,33.0,8.0,113.0
painters_tape,A,A,21.0,15.0,50.0,10.0,116.0,29.0,5.0,32.0,9.0,46.0
painters_tape,A,A,12.0,6.0,49.0,9.3,122.0,50.0,4.0,25.0,9.1,78.0
painters_tape,A,A,45.0,9.0,32.0,7.1,45.0,55.0,13.0,41.0,7.8,88.0
painters_tape,A,A,10.0,19.0,52.0,9.8,96.0,40.0,7.0,26.0,9.7,158.0
painters_tape,A,A,24.0,19.0,63.0,7.2,120.0,58.0,12.0,70.0,7.0,88.0
painters_tape,B,B,45.0,7.0,39.0,9.5,103.0,49.0,7.0,32.0,7.4,58.0
painters_tape,A,A,58.0,8.0,51.0,6.5,110.0,27.0,10.0,27.0,6.5,154.0
painters_tape,A,B,26.0,7.0,33.0,7.1,66.0,9.0,15.0,40.0,6.6,136.0
painters_tape,A,A,12.0,8.0,64.0,6.5,96.0,51.0,17.0,32.0,7.4,138.0
painters_tape,A,B,27.0,20.0,34.0,9.8,106.0,19.0,11.0,30.0,8.8,69.0
painters_tape,A,B,55.0,14.0,42.0,7.0,121.0,18.0,19.0,30.0,8.1,111.0
painters_tape,A,A,21.0,17.0,42.0,8.6,115.0,23.0,10.0,28.0,6.7,158.0
painters_tape,A,A,24.0,15.0,29.0,8.2,84.0,34.0,8.0,27.0,7.2,64.0
painters_tape,A,B,14.0,16.0,38.0,7.6,166.0,48.0,19.0,65.0,6.5,71.0
painters_tape,A,A,9.0,15.0,56.0,7.4,92.0,42.0,16.0,36.0,9.4,83.0
painters_tape,B,B,40.0,6.0,30.0,9.7,140.0,45.0,4.0,26.0,6.6,60.0
painters_tape,A,B,23.0,10.0,26.0,7.2,126.0,17.0,18.0,51.0,8.9,68.0
painters_tape,A,A,30.0,15.0,41.0,6.0,155.0,48.0,8.0,26.0,9.4,121.0
painters_tape,A,A,10.0,7.0,29.0,9.2,62.0,55.0,16.0,28.0,8.8,89.0
painters_tape,A,B,47.0,18.0,37.0,6.4,172.0,29.0,20.0,57.0,9.0,154.0
painters_tape,A,B,40.0,11.0,27.0,8.8,94.0,34.0,20.0,30.0,9.0,37.0
painters_tape,A,B,44.0,18.0,37.0,8.2,175.0,41.0,13.0,36.0,6.2,84.0
painters_tape,A,A,29.0,7.0,39.0,6.5,136.0,43.0,7.0,36.0,8.1,97.0
painters_tape,A,B,57.0,9.0,38.0,9.5,51.0,37.0,9.0,63.0,8.2,144.0
painters_tape,A,A,16.0,15.0,53.0,7.8,145.0,51.0,5.0,38.0,7.4,61.0
painters_tape,A,B,10.0,8.0,33.0,8.8,97.0,13.0,9.0,46.0,7.5,55.0
painters_tape,A,A,11.0,3.0,72.0,9.0,43.0,45.0,21.0,51.0,6.4,103.0
painters_tape,A,B,30.0,6.0,50.0,6.0,168.0,41.0,14.0,69.0,8.6,68.0
painters_tape,A,B,20.0,5.0,25.0,9.1,156.0,23.0,6.0,55.0,9.4,169.0
painters_tape,A,A,16.0,17.0,64.0,9.0,79.0,17.0,18.0,39.0,7.5,113.0
painters_tape,A,A,27.0,18.0,35.0,6.2,115.0,40.0,18.0,58.0,9.6,172.0
olive_pitter,A,A,30.0,85.0,92.0,4.0,6.0,13.0,91.0,92.0,7.0,10.0
olive_pitter,A,A,14.0,71.0,94.0,3.0,8.0,10.0,95.0,99.0,12.0,5.0
olive_pitter,A,A,21.0,90.0,95.0,6.0,4.0,28.0,90.0,98.0,14.0,2.0
olive_pitter,A,B,22.0,83.0,96.0,5.0,3.0,13.0,80.0,95.0,15.0,9.0
olive_pitter,A,B,45.0,99.0,100.0,9.0,8.0,12.0,90.0,96.0,4.0,6.0
olive_pitter,A,B,48.0,84.0,96.0,4.0,4.0,45.0,71.0,92.0,10.0,5.0
olive_pitter,A,B,13.0,90.0,94.0,9.0,5.0,31.0,87.0,94.0,2.0,3.0
olive_pitter,A,B,46.0,86.0,91.0,13.0,3.0,14.0,86.0,93.0,7.0,6.0
olive_pitter,A,B,19.0,87.0,91.0,8.0,6.0,13.0,82.0,91.0,7.0,9.0
olive_pitter,A,B,32.0,91.0,98.0,2.0,10.0,39.0,73.0,98.0,6.0,3.0
olive_pitter,A,B,48.0,87.0,98.0,2.0,8.0,12.0,77.0,94.0,0.0,6.0
olive_pitter,A,A,19.0,79.0,97.0,6.0,9.0,35.0,96.0,96.0,14.0,9.0
olive_pitter,A,B,17.0,92.0,93.0,11.0,7.0,43.0,74.0,94.0,11.0,10.0
olive_pitter,A,A,39.0,71.0,96.0,1.0,6.0,42.0,73.0,99.0,10.0,3.0
olive_pitter,A,B,18.0,83.0,98.0,9.0,2.0,11.0,73.0,98.0,3.0,6.0
olive_pitter,A,A,22.0,91.0,94.0,2.0,9.0,32.0,91.0,98.0,14.0,1.0
olive_pitter,A,A,24.0,75.0,95.0,13.0,8.0,11.0,75.0,98.0,10.0,5.0
olive_pitter,A,B,29.0,75.0,98.0,6.0,9.0,34.0,72.0,93.0,3.0,9.0
olive_pitter,A,A,34.0,71.0,92.0,5.0,5.0,33.0,82.0,94.0,0.0,6.0
olive_pitter,A,A,23.0,71.0,95.0,15.0,1.0,16.0,90.0,93.0,4.0,6.0
olive_pitter,A,A,20.0,87.0,95.0,14.0,10.0,11.0,87.0,98.0,13.0,8.0
olive_pitter,A,A,35.0,89.0,94.0,4.0,8.0,45.0,98.0,97.0,5.0,8.0
