scenario,attr1,attr2,attr3,attr4,attr5
sawhorse,0.0,0.0,0.0,0.0,0.0
stockings,0.0,0.0,0.0,0.0,0.0
fabric_markers,0.0,0.0,0.0,0.0,0.0
cherry_pitter,0.0,0.0,0.0,0.0,0.0
amusement_park,0.0,0.0,0.0,0.0,0.0
snow_brush,0.0,0.0,0.0,0.0,0.0
safety_pins,-0.7836705537544789,0.49177182309402606,-0.5127369390704174,-0.4954974380501501,-0.2701736857889313
sewing_machine,1.496952413338373,0.7531925606557466,-0.05457329843539639,-0.34827578122651665,-0.5437147200419307
pressure_cooker,-0.7906800656148575,0.678346557761624,0.3016159739837025,0.3791746931116152,-0.28920146416429326
necklace_stand,0.0,0.0,0.0,0.0,0.0
soccer_ball,0.0,0.0,0.0,0.0,0.0
